instruction,response,output,prompt,history,summary,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
sitting in a group of # or # on the far right of the top level,[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM],"[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM], CORRECT?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports that there are students smoking weed on top of the south deck. The admin asks if there is a vehicle from a certain organization standing outside. The user confirms that the students are sitting in a group on the far right of the top level. The admin asks if the location is correct and the user confirms. The admin asks for more information and the user explains that they saw/heard/smelled the students when they were walking in from their car around a certain time. The admin thanks the user for the information and the user thanks the admin. 
 User: there are some students smoking weed on top of south deck
Dispatcher: [ACRONYM] [ACRONYM] [ACRONYM] A VEHICLE [ACRONYM] STAND[ACRONYM]G OUTSIDE? 
 User: sitting in a group of # or # on the far right of the top level
Dispatcher:","[['there are some students smoking weed on top of south deck', '[ACRONYM] [ACRONYM] [ACRONYM] A VEHICLE [ACRONYM] STAND[ACRONYM]G OUTSIDE?']]",A user reports that there are students smoking weed on top of the south deck. The admin asks if there is a vehicle from a certain organization standing outside. The user confirms that the students are sitting in a group on the far right of the top level. The admin asks if the location is correct and the user confirms. The admin asks for more information and the user explains that they saw/heard/smelled the students when they were walking in from their car around a certain time. The admin thanks the user for the information and the user thanks the admin.,1,7,,,,,7,100,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,14.29,14.29,0,0,171.43,0
"This is [PERSON], I have a resident in [DATE] C smoking in the building, can I get an officer please? I'm in the suite now. Resident name is [PERSON].","OFFICER [PERSON] HAS BEEN NOTIFIED AND IS EN ROUTE TO [DATE] C, WOULD YOU LIKE ANY EMOTIONAL SUPPORT FROM AN OFFICER?",Police officers have been notified and will arrive shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user, identified as [PERSON], reports to an admin that a resident, also identified as [PERSON], is smoking in the building on [DATE] C. The user requests for an officer to come to the suite they are currently in. The admin confirms that the police have been notified and will arrive soon. The user thanks the admin and provides a description of the resident, stating that they are going down the elevator wearing a striped shirt and blue jeans. The admin thanks the user for notifying campus police. 
 User: This is [PERSON], I have a resident in [DATE] C smoking in the building, can I get an officer please? I'm in the suite now. Resident name is [PERSON].
Dispatcher:",[],"A user, identified as [PERSON], reports to an admin that a resident, also identified as [PERSON], is smoking in the building on [DATE] C. The user requests for an officer to come to the suite they are currently in. The admin confirms that the police have been notified and will arrive soon. The user thanks the admin and provides a description of the resident, stating that they are going down the elevator wearing a striped shirt and blue jeans. The admin thanks the user for notifying campus police.",1,9,1,92.24,77.17,,9,33.33,88.89,66.67,55.56,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,11.11,0,44.44,0,11.11,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
"In room [ACRONYM] at lakeside, [GPE] has alcohol in her dresser. It's in the bottom drawer of the dresser without the tv. She has the bottles underneath clothing items to hide it.","[PERSON], did the [NORP] advise you to contact us to remove the alcohol?",Contact your [ORG].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reports to an admin that there is alcohol in a dresser in room [ACRONYM] at lakeside, belonging to [GPE]. The bottles are hidden under clothing items. The admin advises the user to contact their [ORG]. The user has already done so and was told to contact the [NORP] police through the app. The user has moved to a different place due to mistreatment from the [NORP] police. The admin asks which [ACRONYM] the user spoke to and the user responds with [PERSON]. The admin assures the user that the issue has been addressed with the [NORP] and they will follow up on it. The user thanks the admin. 
 User: In room [ACRONYM] at lakeside, [GPE] has alcohol in her dresser. It's in the bottom drawer of the dresser without the tv. She has the bottles underneath clothing items to hide it.
Dispatcher:",[],"A user reports to an admin that there is alcohol in a dresser in room [ACRONYM] at lakeside, belonging to [GPE]. The bottles are hidden under clothing items. The admin advises the user to contact their [ORG]. The user has already done so and was told to contact the [NORP] police through the app. The user has moved to a different place due to mistreatment from the [NORP] police. The admin asks which [ACRONYM] the user spoke to and the user responds with [PERSON]. The admin assures the user that the issue has been addressed with the [NORP] and they will follow up on it. The user thanks the admin.",1,3,10.19,99,,,3,33.33,66.67,33.33,33.33,33.33,33.33,0,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33.33,0,0,0,0,66.67,0
The #### building. It’s either rooms #### #### or ####,Thank you for the information. Is their any problem with the officers calling you?,"Thank you so very much, I will send officers out. Would you like to meet with them? It's not required but I did want to offer.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports their neighbors for smoking weed indoors in the UV Suites. They live on the terrace floor near the trash chute and the neighbors are in the #### building, possibly in rooms #### #### or ####. The admin thanks the user and offers to send officers, but the user declines. 
 User: Hi. I live in the uv suites and I'm reporting my neighbors for smoking weed indoors. I live on the terrace floor where the trash chute is and the people smoking are all the way at [DATE]. The smell is strong and it's quite disturbing.
Dispatcher: [ACRONYM]. Do you know the room number? Which building? 
 User: The #### building. It’s either rooms #### #### or ####
Dispatcher:","[[""Hi. I live in the uv suites and I'm reporting my neighbors for smoking weed indoors. I live on the terrace floor where the trash chute is and the people smoking are all the way at [DATE]. The smell is strong and it's quite disturbing."", '[ACRONYM]. Do you know the room number? Which building?']]","A user reports their neighbors for smoking weed indoors in the UV Suites. They live on the terrace floor near the trash chute and the neighbors are in the #### building, possibly in rooms #### #### or ####. The admin thanks the user and offers to send officers, but the user declines.",1,26,4.85,62.84,11.63,99,8.67,7.69,100,88.46,73.08,23.08,19.23,7.69,0,7.69,0,3.85,3.85,3.85,0,0,19.23,15.38,7.69,7.69,3.85,30.77,3.85,3.85,3.85,0,0,3.85,15.38,0,15.38,0,0,7.69,0,0,7.69,0,7.69,7.69,0,0,0,0,0,0,0,0,26.92,11.54,3.85,3.85,0,0,3.85,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,11.54,3.85,0,0,3.85,0,0,0,0,3.85,3.85,3.85,0,0,0,0,0,19.23,7.69,3.85,3.85,0,3.85,0,0
No,"Ok, thank you for the tip. Police will check the area.",Police officers have been notified and will arrive shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports smelling weed in a building near a specific location. The admin asks when this occurred and the user says it was just now. The admin asks if the user sees anyone actively smoking and the user says no. The admin informs the user that police officers have been notified and will arrive soon. 
 User: Smells like weed in A building near A####
Dispatcher: How long ago did this occur? 
 User: Just now
Dispatcher: Do you see anyone in the area actively smoking? 
 User: No
Dispatcher:","[['Smells like weed in A building near A####', 'How long ago did this occur?'], ['Just now', 'Do you see anyone in the area actively smoking?']]",A user reports smelling weed in a building near a specific location. The admin asks when this occurred and the user says it was just now. The admin asks if the user sees anyone actively smoking and the user says no. The admin informs the user that police officers have been notified and will arrive soon.,1,9,1,92.24,77.17,,9,33.33,88.89,66.67,55.56,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,11.11,0,44.44,0,11.11,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
Blessing ###,Which building are they in or what floor?,And they're drinking in their actual room of ###?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports that underage individuals are drinking alcohol in a common room. The admin asks for the location, which the user reveals to be ""Blessing ###"". The admin clarifies if they are drinking in their actual room, to which the user confirms. The admin thanks the user and informs them that the organization will be notified and an investigation will be conducted. The user confirms and adds that the drinking is happening in both the room and common space. The admin thanks the user again. 
 User: All are underage and have alcohol in their common room
Dispatcher: Where is this at? 
 User: Blessing ###
Dispatcher:","[['All are underage and have alcohol in their common room', 'Where is this at?']]","A user reports that underage individuals are drinking alcohol in a common room. The admin asks for the location, which the user reveals to be ""Blessing ###"". The admin clarifies if they are drinking in their actual room, to which the user confirms. The admin thanks the user and informs them that the organization will be notified and an investigation will be conducted. The user confirms and adds that the drinking is happening in both the room and common space. The admin thanks the user again.",1,8,26.1,99,89.39,,8,12.5,100,75,62.5,25,25,0,0,0,0,25,0,12.5,0,0,25,12.5,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,12.5,0,0,0,0,0,0,62.5,0,0,12.5,0,12.5,37.5,0
Unfortunately I have class during that time. I could between classes from ##:## to # if that is still okay,"Ok, I'll pass that along. Thank you for all your help.",Would you be able to meet at ##:##?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports that an equestrian intern and another person were smoking marijuana at a facility on Saturday night and got extremely high. The admin asks for more information and requests the user to file a security report. The user agrees to do so anonymously and mentions witnessing the intern bragging about it at a home show. The admin asks the user to meet with the Chief of the organization at a specific time, but the user has class and suggests a different time. The admin agrees and thanks the user for their cooperation. 
 User: The equestrian intern, [LOC] (who lives at the averett barn), was bragging about how she and [PERSON] were smoking marijuana at [FAC] again Saturday night (#/##) and got extremely high, more so than they've ever done before.
Dispatcher: Thank you for your tip. In order to proceed and look into this further, we will need additional information. Would you be willing to file a security report? Did you hear Angelica bragging about this? If not, how did you hear about this. Any help you can provide (information, ect) will help us out in investigating this. Thanks! 
 User: I would be willing to file a security report, as long as it can still remain anonymous. I did personally witness [LOC] saying this at the home show yesterday
Dispatcher: Thank you. Can you stop by and see [PERSON] (Chief of [ORG]) tomorrow morning at around #:##am or #:##am? His office is located on [FAC]. 
 User: Unfortunately I have class during that time. I could between classes from ##:## to # if that is still okay
Dispatcher:","[[""The equestrian intern, [LOC] (who lives at the averett barn), was bragging about how she and [PERSON] were smoking marijuana at [FAC] again Saturday night (#/##) and got extremely high, more so than they've ever done before."", 'Thank you for your tip. In order to proceed and look into this further, we will need additional information. Would you be willing to file a security report? Did you hear Angelica bragging about this? If not, how did you hear about this. Any help you can provide (information, ect) will help us out in investigating this. Thanks!'], ['I would be willing to file a security report, as long as it can still remain anonymous. I did personally witness [LOC] saying this at the home show yesterday', 'Thank you. Can you stop by and see [PERSON] (Chief of [ORG]) tomorrow morning at around #:##am or #:##am? His office is located on [FAC].']]","A user reports that an equestrian intern and another person were smoking marijuana at a facility on Saturday night and got extremely high. The admin asks for more information and requests the user to file a security report. The user agrees to do so anonymously and mentions witnessing the intern bragging about it at a home show. The admin asks the user to meet with the Chief of the organization at a specific time, but the user has class and suggests a different time. The admin agrees and thanks the user for their cooperation.",1,7,56.86,99,1,99,7,0,100,85.71,71.43,14.29,14.29,0,0,14.29,0,0,0,0,0,0,28.57,28.57,0,0,0,42.86,0,0,14.29,0,14.29,0,14.29,0,14.29,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71,0,0,14.29,0,0,71.43,0
Not right now,"Ok, we can make an officer available at your convenience.","Thank you for the information, we will pass it along to the officer who handled the call.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user informs the admin that there was an incident involving marijuana use in the living room of a dorm. The user knows the person responsible, who goes by [PERSON], but does not know their real name. The admin asks for the specific suite and time of the incident. The user provides the building and approximate time, stating that the police were involved and asking if they can meet with an officer. The user is unable to meet at the moment, and the admin thanks them for the information and says they will pass it along to the officer who handled the call. 
 User: There was a incident about weed use in the living room of the dorm and I just found out who the person is. He goes by [PERSON] I don't really know his real name but that's who usually has all the guest in the living room.
Dispatcher: Thank you for notifying [ORG]. Which suite are you referring to? 
 User: When did the incident occur?
Dispatcher: #### in #,### building 
 User: Last night around # am the cops were letting us know that someone has been using marijuana and if we knew who it was let them know but at the time I didn’t know who it was.
Dispatcher: Can you meet with an officer at this time? 
 User: Not right now
Dispatcher:","[[""There was a incident about weed use in the living room of the dorm and I just found out who the person is. He goes by [PERSON] I don't really know his real name but that's who usually has all the guest in the living room."", 'Thank you for notifying [ORG]. Which suite are you referring to ?'], ['When did the incident occur?', '#### in #,### building'], ['Last night around # am the cops were letting us know that someone has been using marijuana and if we knew who it was let them know but at the time I didn’t know who it was.', 'Can you meet with an officer at this time?']]","A user informs the admin that there was an incident involving marijuana use in the living room of a dorm. The user knows the person responsible, who goes by [PERSON], but does not know their real name. The admin asks for the specific suite and time of the incident. The user provides the building and approximate time, stating that the police were involved and asking if they can meet with an officer. The user is unable to meet at the moment, and the admin thanks them for the information and says they will pass it along to the officer who handled the call.",1,17,95.53,99,12.44,95.42,17,17.65,100,82.35,64.71,23.53,17.65,0,5.88,5.88,0,0,5.88,17.65,17.65,0,17.65,5.88,0,0,0,23.53,0,0,11.76,5.88,0,5.88,11.76,0,11.76,5.88,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,35.29,11.76,5.88,5.88,0,0,11.76,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,5.88,0,5.88,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,11.76,5.88,5.88,0,0,0,0,0
Suspected [GPE] Use ### south academy,Hpu thanks for letting us know,"Thank you for the tip, we will send officers to check the area.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports suspected use of a substance in a specific location to an admin. The admin thanks the user and says they will send officers to investigate. The admin asks for more details on what the user observed and when it happened. The user responds that they noticed a strong smell recently. The admin acknowledges the information and says they will have someone check the area. 
 User: Suspected [GPE] Use ### south academy
Dispatcher:",[],A user reports suspected use of a substance in a specific location to an admin. The admin thanks the user and says they will send officers to investigate. The admin asks for more details on what the user observed and when it happened. The user responds that they noticed a strong smell recently. The admin acknowledges the information and says they will have someone check the area.,1,13,96.67,99,2.93,99,13,7.69,92.31,69.23,53.85,15.38,15.38,0,7.69,7.69,0,0,0,15.38,15.38,0,15.38,7.69,0,0,0,23.08,0,0,15.38,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,30.77,7.69,7.69,7.69,0,0,7.69,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,0
"Hi this is the [ACRONYM] from Global C #rd Floor. I smelled marijuana coming really strongly from the air vents and made a walk around the building. I cannot seem to find the origin of the smell, but I know that it is in the building somewhere and it is coming strongly through the vents while my residents and I are trying to sleep. I'm sorry I cant be of more help I just can't seem to find any strong source point other than through the vents","Ok, thank you for the information. We will notify an officer. Did you see any personal property or backpacks or any type of bag near where the smell is coming from?",We will notify an officer.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user from the [LOC] reports smelling marijuana strongly through the air vents in the building. They have searched but cannot find the source. The user apologizes for not being able to provide more information. The admin assures them that an officer will be notified. The user thanks the admin and mentions that the smell is fading. The admin responds with ""You're welcome."" 
 User: Hi this is the [ACRONYM] from Global C #rd Floor. I smelled marijuana coming really strongly from the air vents and made a walk around the building. I cannot seem to find the origin of the smell, but I know that it is in the building somewhere and it is coming strongly through the vents while my residents and I are trying to sleep. I'm sorry I cant be of more help I just can't seem to find any strong source point other than through the vents
Dispatcher:",[],"A user from the [LOC] reports smelling marijuana strongly through the air vents in the building. They have searched but cannot find the source. The user apologizes for not being able to provide more information. The admin assures them that an officer will be notified. The user thanks the admin and mentions that the smell is fading. The admin responds with ""You're welcome.""",1,5,39.7,99,,,5,20,80,60,60,20,20,0,20,0,0,0,0,20,20,0,0,20,0,0,0,20,0,0,40,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0
"[ORG]","I am sorry I am not too familiar with the word front desk you are mentioning, where is the officer enroute to?",ok are you the front desk worker of [ORG],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports finding a suspicious substance behind a ravine to an admin. The admin asks if the user knows what the substance could be, to which the user responds that they just found it like that. The admin thanks the user and informs them that an officer is on their way. The user then mentions hearing about someone having crack near the [PERSON] desk, but is unsure. The admin asks for clarification on the location, and the user confirms it is at the front desk of [ORG]. The admin confirms if the user is the front desk worker of [ORG], and the user confirms but mentions they are currently off shift and found the substance while taking a walk. The admin thanks the user for the tip and informs them that the information will be passed along to the responding officer. 
 User: found behind ravine
Dispatcher: do you know what this substance could be 
 User: No just found it like that
Dispatcher: ok we have an officer enroute, thank you for the tip 
 User: I heard around the [PERSON] desk that someone has crack but I'm not sure
Dispatcher: front desk of what building 
 User: [ORG]
Dispatcher:","[['found behind ravine', 'do you know what this substance could be'], ['No just found it like that', 'ok we have an officer enroute, thank you for the tip'], [""I heard around the [PERSON] desk that someone has crack but I'm not sure"", 'front desk of what building']]","A user reports finding a suspicious substance behind a ravine to an admin. The admin asks if the user knows what the substance could be, to which the user responds that they just found it like that. The admin thanks the user and informs them that an officer is on their way. The user then mentions hearing about someone having crack near the [PERSON] desk, but is unsure. The admin asks for clarification on the location, and the user confirms it is at the front desk of [ORG]. The admin confirms if the user is the front desk worker of [ORG], and the user confirms but mentions they are currently off shift and found the substance while taking a walk. The admin thanks the user for the tip and informs them that the information will be passed along to the responding officer.",1,9,89.52,99,10.18,,9,0,100,55.56,44.44,11.11,11.11,0,0,11.11,0,0,0,11.11,11.11,0,11.11,11.11,0,0,0,11.11,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,22.22,0,0,0,0,0,22.22,0
Ok. Just wanted to send it because right outside of the main door to the building smells like weed.,Understandable thank you again for your tip and have a good night,Thank you and the officers will continue to patrol the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reports seeing two girls smoking what appears to be weed outside of a building in [LOCATION]. The admin thanks the user for the tip and sends officers to the area. The user responds with gratitude. Later, the admin updates that the officers have made contact with the girls and found no evidence of marijuana, but they were smoking cigarettes. The user explains that they reported it because the area smelled like weed. The admin thanks the user again and says the officers will continue to patrol the area. 
 User: Two girls are smoking what looks like weed outside of [GPE] smith north. One is wearing a neon pink hoodie and the other a grey sweatshirt and a black hat.
Dispatcher: Thank you for your tip we are sending officers in the area now. 
 User: You’re welcome. Thank you
Dispatcher: Update: The officers have made contact with the two female students, there was no signs or smell of marijuana. The students were smoking a cigarette,once again thank you for your tip. 
 User: Ok. Just wanted to send it because right outside of the main door to the building smells like weed.
Dispatcher:","[['Two girls are smoking what looks like weed outside of [GPE] smith north. One is wearing a neon pink hoodie and the other a grey sweatshirt and a black hat.', 'Thank you for your tip we are sending officers in the area now.'], ['You’re welcome. Thank you', 'Update: The officers have made contact with the two female students, there was no signs or smell of marijuana. The students were smoking a cigarette,once again thank you for your tip.']]","A user reports seeing two girls smoking what appears to be weed outside of a building in [LOCATION]. The admin thanks the user for the tip and sends officers to the area. The user responds with gratitude. Later, the admin updates that the officers have made contact with the girls and found no evidence of marijuana, but they were smoking cigarettes. The user explains that they reported it because the area smelled like weed. The admin thanks the user again and says the officers will continue to patrol the area.",1,11,89.52,99,50.45,99,11,18.18,90.91,63.64,54.55,9.09,9.09,0,0,9.09,0,0,0,18.18,18.18,0,9.09,9.09,0,9.09,0,18.18,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,27.27,9.09,9.09,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0
Female restroom,"Thank you for the information, an officer will check it out. Would you like to meet the officer?",Thank you. We will send an officer to investigate the odor.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reports a strong odor in a location, using privacy tokens to protect personal information. The admin asks for more details about the location and the user mentions a specific floor and the female restroom. The admin thanks the user and informs them that an officer will be sent to investigate the odor. The user expresses gratitude. 
 User: Reeks of [GPE] in [GPE]
Dispatcher: Hello, where at in [GPE] is the odor coming from? 
 User: I[ORG] not quite sure, I[ORG] sorry. I went to the bathroom and instantly smelled it in the hallway/bathroom.
Dispatcher: Which floor? 
 User: Floor #
Dispatcher: Thank you.. Near the male or female Restroom? 
 User: Female restroom
Dispatcher:","[['Reeks of [GPE] in [GPE]', 'Hello, where at in [GPE] is the odor coming from?'], ['I[ORG] not quite sure, I[ORG] sorry. I went to the bathroom and instantly smelled it in the hallway/bathroom.', 'Which floor?'], ['Floor #', 'Thank you.. Near the male or female Restroom?']]","A user reports a strong odor in a location, using privacy tokens to protect personal information. The admin asks for more details about the location and the user mentions a specific floor and the female restroom. The admin thanks the user and informs them that an officer will be sent to investigate the odor. The user expresses gratitude.",1,11,89.52,99,5.07,99,5.5,18.18,90.91,72.73,54.55,18.18,18.18,0,9.09,9.09,0,0,0,18.18,18.18,0,9.09,9.09,0,0,0,27.27,0,0,18.18,9.09,0,9.09,9.09,0,9.09,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,36.36,9.09,9.09,9.09,0,0,9.09,27.27,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,18.18,18.18,0,0,0,0,0,0
"I live in [ACRONYM] and I can smell marijuana coming through the vents. It is very strong, so I assume someone is smoking it right now. Just wanted to inform you all.",[ACRONYM] POLICE [ACRONYM] NOTIFY [ACRONYM] POLICE [ACRONYM] MARIJUANA [ACRONYM] [ACRONYM] WANT [ACRONYM] LOCATION [ACRONYM] SECOND [ACRONYM] THIRD [ACRONYM],We will notify campus police. Can you give us a room or floor that this is near,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user living in [ACRONYM] informs the admin that they can smell marijuana coming through the vents and assumes someone is smoking it. The admin says they will notify campus police and asks for a specific location. The user is not sure, but believes it is coming from the second floor and suggests the third floor as a possible location. The admin thanks the user and the user responds with ""no problem."" 
 User: I live in [ACRONYM] and I can smell marijuana coming through the vents. It is very strong, so I assume someone is smoking it right now. Just wanted to inform you all.
Dispatcher:",[],"A user living in [ACRONYM] informs the admin that they can smell marijuana coming through the vents and assumes someone is smoking it. The admin says they will notify campus police and asks for a specific location. The user is not sure, but believes it is coming from the second floor and suggests the third floor as a possible location. The admin thanks the user and the user responds with ""no problem.""",1,17,3.11,99,46.57,,8.5,0,94.12,70.59,64.71,29.41,17.65,0,11.76,5.88,0,0,11.76,17.65,5.88,0,5.88,17.65,0,5.88,0,23.53,5.88,0,17.65,11.76,0,5.88,11.76,0,11.76,0,0,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,23.53,5.88,0,0,0,0,0,17.65,0,0,0,0,0,0,0,0,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,17.65,0,0,17.65,0,0,0,0,0,17.65,5.88,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0
