instruction,response,output,prompt,history,summary,his_len,type
"He robbed a girl with a big blue handbag, blond, using colorful sweather and brown boots. Thank you, I was in a rush, so couln't stop to help her.",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [,[ACRONYM] [ACRONYM] E,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: He went towards [ORG]
Dispatcher: [ACRONYM] [ACRONYM] OFFICERS RESPONDING [ACRONYM] [ACRONYM] [ACRONYM].... 
 User: He robbed a girl with a big blue handbag, blond, using colorful sweather and brown boots. Thank you, I was in a rush, so couln't stop to help her.
Dispatcher:","[['He went towards [ORG]', '[ACRONYM] [ACRONYM] OFFICERS RESPONDING [ACRONYM] [ACRONYM] [ACRONYM]....']]",,9,TheftLostItem
did you tell tgem to call?,"Yes.
",What did he steal?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: did you tell tgem to call?
Dispatcher:",[],,3,TheftLostItem
New haven police I think,"New haven police
",Here is the number to new haven pd ###-###-####,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: New haven police I think
Dispatcher:",[],,3,TheftLostItem
it's a house,"do you know the address of the house? 
","I have my [PERSON], coming to you right now to talk to you","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: New haven police I think
Dispatcher: Here is the number to new haven pd ###-###-#### 
 User: I already filed the report, I'm wondering if they'll be able to access the camera footage later?
Dispatcher: Are you a yale student? 
 User: yes
Dispatcher: where are you at right now? 
 User: I'm at home, ### [ORG] street
Dispatcher: apt number 
 User: it's a house
Dispatcher:","[['New haven police I think', 'Here is the number to new haven pd ###-###-####'], [""I already filed the report, I'm wondering if they'll be able to access the camera footage later?"", 'Are you a yale student?'], ['yes', 'where are you at right now?'], [""I'm at home, ### [ORG] street"", 'apt number']]",,11,TheftLostItem
broad day light at #:## after class,"Hello, this is the police department.
",Thank you for this information,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: broad day light at #:## after class
Dispatcher:",[],,2,TheftLostItem
just the police department in the area?,"Yes, just the police department in the area.
",If we can assist you in any way please contact us,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: just the police department in the area?
Dispatcher:",[],,8,TheftLostItem
my laptop!,"the police department
",[ACRONYM] [UNK-NNP] what was taken?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my laptop!
Dispatcher:",[],,1,TheftLostItem
At home,"At the police station
",there on u. i see it,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: At home
Dispatcher:",[],,2,TheftLostItem
"they left, they are heading towards broad on [GPE] st. they are walking with a shopping cart full of stuff.","Thanks for the tip, we will have an officer respond to check the area. 
","Thanks for the tip, we will notify the officer of the update information.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: there are two men
Dispatcher: Thanks for the tip, we will have an officer respond to check the area. 
 User: they left, they are heading towards broad on [GPE] st. they are walking with a shopping cart full of stuff.
Dispatcher:","[['there are two men', 'Thanks for the tip, we will have an officer respond to check the area.']]",,5,TheftLostItem
"the person with my bike currently also posted a picture of it on [NORP] , and had t repaired and replaced the pedals","the person who will be helping the user
","Perfect, which building?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the person with my bike currently also posted a picture of it on [NORP], and had t repaired and replaced the pedals
Dispatcher:",[],,3,TheftLostItem
"the bike is a black fix-e bike with slightly gold rims , and forward bending handlebars. When it was taken it had a few problems including flat tires and rusted chains. I did not register my bike with the police, but have multiple witnesses who know it is mine . It was taken about a week and a half ago","Ok, we will check the security cameras and let you know what we find. 
",Thank you.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the person with my bike currently also posted a picture of it on [NORP], and had t repaired and replaced the pedals
Dispatcher: Perfect, which building? 
 User: I live at [FAC], any building around [ORG] would be perfect
Dispatcher: Ok, will #:## be a good time? 
 User: yes, at [ORG]?
Dispatcher: Yes, we will have an officer there to assist you. Enjoy the rest of you day and let us know if you need anything. 
 User: Will we be able to look at security camera footage? My bike was taken right in front of one of the security cameras
Dispatcher: We will check that for you. Can you give us a description of your bike and the date and time is was stole? 
 User: the bike is a black fix-e bike with slightly gold rims, and forward bending handlebars. When it was taken it had a few problems including flat tires and rusted chains. I did not register my bike with the police, but have multiple witnesses who know it is mine. It was taken about a week and a half ago
Dispatcher:","[['the person with my bike currently also posted a picture of it on [NORP] , and had t repaired and replaced the pedals', 'Perfect, which building?'], ['I live at [FAC], any building around [ORG] would be perfect', 'Ok, will #:## be a good time?'], ['yes , at [ORG]?', 'Yes, we will have an officer there to assist you. Enjoy the rest of you day and let us know if you need anything.'], ['Will we be able to look at security camera footage? My bike was taken right in front of one of the security cameras', 'We will check that for you. Can you give us a description of your bike and the date and time is was stole?']]",,11,TheftLostItem
does the computer alert when new message arrives,"gives instructions and emotional support
",No i did hear anything i just been keeping an eye on it,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: does the computer alert when new message arrives
Dispatcher:",[],,5,TheftLostItem
trying to stay quiet,"trying to keep the citizen calm
",Do you hear some,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: trying to stay quiet
Dispatcher:",[],,2,TheftLostItem
would it be possible to have them look around the area and if there's something suspicious to meet with them?,"I'm going to need a little more information.
",I have an officer there in the area know. Where are you exactly?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: would it be possible to have them look around the area and if there's something suspicious to meet with them?
Dispatcher:",[],,17,TheftLostItem
yeah I can. I'll be by the tv,"[GPE] SEND[ACRONYM]G [ACRONYM] OFFICER [ACRONYM] [ACRONYM] LOCATION. [ACRONYM] [ACRONYM] REMA[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] 
","So far we have not received anything [MEDIAHANDLE] [ORG] matching that description. If you wish to leave your name and an alternate way to contact you, we will contact you if we get it.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I was in [FAC]A line and like next thing I know it's gone. it was in my backpack
Dispatcher: [GPE] SEND[ACRONYM]G [ACRONYM] OFFICER [ACRONYM] [ACRONYM] LOCATION. [ACRONYM] [ACRONYM] REMA[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] 
 User: yeah I can. I'll be by the tv
Dispatcher:","[[""I was in [FAC]A line and like next thing I know it's gone. it was in my backpack"", '[GPE] SEND[ACRONYM]G [ACRONYM] OFFICER [ACRONYM] [ACRONYM] LOCATION. [ACRONYM] [ACRONYM] REMA[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]']]",,5,TheftLostItem
should I wait outside?,"yes, please.
",What number is your apt? And what is your phone nu mber?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: should I wait outside?
Dispatcher:",[],,10,TheftLostItem
Test. but he brought people over last night,"Hi, this is 911. How can I help you?
","[ACRONYM]: Hmmm...interesting! This is serious. Since you are currently off campus, I'd contact [ACRONYM].","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Test. but he brought people over last night
Dispatcher:",[],,4,TheftLostItem
lo han reportado de casualidad?,"lo han reportado de casualidad?
","[GPE] tardes, te sugerimos acudir maÃ±ana al Ã¡rea de objetos extraviados, salÃ³n #### en horario de ##:## a ##:## y de ##:## a ##:## para consultar si se encuentra ahÃ­.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: lo han reportado de casualidad?
Dispatcher:",[],,1,TheftLostItem
"Hola, perdí las llaves de mi carro","Hola, ¿qué pasó?
",[GPE] tardes:,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hola, perdí las llaves de mi carro
Dispatcher:",[],,1,TheftLostItem
Thank you,"You are welcome
",Ok.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you
Dispatcher:",[],,9,TheftLostItem
El llavero,"El llavero
",No han reportado nada [GPE],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: El llavero
Dispatcher:",[],,9,TheftLostItem
Voy a hacer el reporte y cuando ya les informen me avisan,"No necesitan hacer el reporte, ya que se les ha informado que no hay ningún celular extraviado.
","[PERSON] preguntaste en el área [PERSON] unidad si no lo tienen, que lo hayan entregado ?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Siii
Dispatcher: Nos informa el personal de Seguridad de [ACRONYM] que no les han reportado algún celular extraviado, hasta este momento. 
 User: Voy a hacer el reporte y cuando ya les informen me avisan
Dispatcher:","[['Siii', 'Nos informa el personal de Seguridad de [ACRONYM] que no les han reportado algún celular extraviado, hasta este momento.']]",,8,TheftLostItem
Fue el miércoles o martes,"¿Qué día fue?
","Si pero la memoria es de ese día, no se actualiza","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Fue el miércoles o martes
Dispatcher:",[],,24,TheftLostItem
Yes,"Yes nobody
","Thank you for contacting [ORG], is this happening right now?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes
Dispatcher:",[],,1,TheftLostItem
I was getting in my car and noticed him hanging around,"I see. What is he doing?
",Thank you for the descriptive information. Are you still able to see the male and the vehicle?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I was getting in my car and noticed him hanging around
Dispatcher:",[],,8,TheftLostItem
[EMAIL],"[EMAIL]
","[ORG] por la información, se canaliza a las áreas [PERSON] correspondientes para su atención","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [EMAIL]
Dispatcher:",[],,8,TheftLostItem
Well I need my card to get into my suite. I live in [ORG].,"I understand. We'll send an officer over to your suite.
","Thank you for the tip! We saw this earlier but the response didn't send, Would you like us to deactivate your card so it wont work anymore?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Well I need my card to get into my suite. I live in [ORG].
Dispatcher:",[],,1,TheftLostItem
Again the dominoes man said that the signature was for a person named Leah every time. If there's a Leah that scans into the building when the pizza is delivered I feel like that's another good way to pinpoint who it is,"Okay. So, you're saying that the person who's been stealing your pizza is a woman?
",Will will pass this information off to a [ORG] officer to try to help resolve the problems.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Again the dominoes man said that the signature was for a person named Leah every time. If there's a Leah that scans into the building when the pizza is delivered I feel like that's another good way to pinpoint who it is
Dispatcher:",[],,16,TheftLostItem
The owner just came by and picked it up,"Okay, thank you for reporting it.
",Thanks for the information. Have a good night.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes
Dispatcher: [ACRONYM] - I'll have an officer stop by to pick it up - are you there until #:## [ACRONYM]? 
 User: The owner just came by and picked it up
Dispatcher:","[['Yes', ""[ACRONYM] - I'll have an officer stop by to pick it up - are you there until #:## [ACRONYM]?""]]",,3,TheftLostItem
[ORG] gracias por la atencion ��,"De nada 
",[GPE] servirte.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: O con quien podria ir a checar?
Dispatcher: Nos informa que ya va para alla 
 User: Bueno muchas gracias
Dispatcher: De nada estamos para servirte 
 User: [ORG] gracias por la atencion ��
Dispatcher:","[['O con quien podria ir a checar?', 'Nos informa que ya va para alla'], ['Bueno muchas gracias', 'De nada estamos para servirte']]",,13,TheftLostItem
Is there any possible to find my bike?,"Yes, we can find your bike.
",Please contact the office at ###-###-#### to provide further information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is there any possible to find my bike?
Dispatcher:",[],,3,TheftLostItem
It was dark so I didn't get a good view,"Do you know if it was a male or female?
",Thank you. Did you see any weapons on either subjects?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: It was dark so I didn't get a good view
Dispatcher:",[],,5,TheftLostItem
It's a - sedan? The same general family of cars as a camry,"ok, what color is it?
",are you able to see a color?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: By police contact box I think
Dispatcher: type of vehicle? 
 User: It's a - sedan? The same general family of cars as a camry
Dispatcher:","[['By police contact box I think', 'type of vehicle?']]",,8,TheftLostItem
"Si, una compañera me la iba a traer pero se la llevaron antes de que ella pudiera agarrarla","Bueno, ¿puedes decirme cuál es el problema?
","Ya nos comunicamos, mencionan que ya la tienen en resguardo.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Bueno yo voy a preguntar cuando regresa a valle alto
Dispatcher: [GPE] donde olvido su laptop? 
 User: Se me quedo en la unidad [GPE] en en nuevo edificio en el salón ### (último salón del último piso)
Dispatcher: y ¿ya se encuentra en [ORG] en este momento? 
 User: Si, una compañera me la iba a traer pero se la llevaron antes de que ella pudiera agarrarla
Dispatcher:","[['Bueno yo voy a preguntar cuando regresa a valle alto', '[GPE] donde olvido su laptop?'], ['Se me quedo en la unidad [GPE] en en nuevo edificio en el salón ### (último salón del último piso)', 'y ¿ya se encuentra en [ORG] en este momento?']]",,15,TheftLostItem
Yes,"Ok where are you located?
","Perfect, are you still at [ORG]?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I was in the store for a while. And I can’t find it when I[PERSON] out again
Dispatcher: Ok are you available to meet with an officer right now to file a report? 
 User: Yes
Dispatcher:","[['I was in the store for a while. And I can’t find it when I[PERSON] out again', 'Ok are you available to meet with an officer right now to file a report?']]",,8,TheftLostItem
I will be working in the [ORG] until #:##. I don't know if it would be better for an officer to come here or for me to go there after my shift is over,"Ok. I will send an officer to your location.
",I can send an officer to your location. What building and room number will you be at?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: (This was between ##:##-##:##
Dispatcher: Do you want an officer to meet with you? If so, where? or do you want to stop by the police department at [FAC]? 
 User: I will be working in the [ORG] until #:##. I don't know if it would be better for an officer to come here or for me to go there after my shift is over
Dispatcher:","[['(This was between ##:##-##:##', 'Do you want an officer to meet with you? If so, where? or do you want to stop by the police department at [FAC]?']]",,5,TheftLostItem
Voy director para allá,"Voy director para allá
",[ORG],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Voy director para allá
Dispatcher:",[],,6,TheftLostItem
Thank you!!,"No problem, please let me know if you need anything else.
","No problem! If you need anything else from [ORG], you can contact us through livesafe or by phone at (###)###-####. Have a nice day!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Should I contact them directly?
Dispatcher: Yes, this is [ORG] dispatch, I dont have the ability to contact [GPE] officers unfortunately. If you'd like to give [GPE] a call directly I'm sure they can pass along the message though. Their number is (###)###-#### 
 User: Thank you!!
Dispatcher:","[['Should I contact them directly?', ""Yes, this is [ORG] dispatch, I dont have the ability to contact [GPE] officers unfortunately. If you'd like to give [GPE] a call directly I'm sure they can pass along the message though. Their number is (###)###-####""]]",,7,TheftLostItem
Okay,"¿Está seguro que no le importa que le llame?
",Nos informan que no han recibido ningun respecto sobre sus lentes que nos menciona.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Perdone las molestias pero es un asunto urgente
Dispatcher: Estamos contactando a la persona que se encuentra en el área andaba en hora de comida. 
 User: Okay
Dispatcher:","[['Perdone las molestias pero es un asunto urgente', 'Estamos contactando a la persona que se encuentra en el área andaba en hora de comida.']]",,8,TheftLostItem
Habrá un número de teléfono para contactarlos.,"Gracias, señor.
",o hasta el día lunes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Me di cuenta llegando a mi casa.
Dispatcher: Podría acudir el día de mañana de ##:## - ##:## 
 User: Habrá un número de teléfono para contactarlos.
Dispatcher:","[['Me di cuenta llegando a mi casa.', 'Podría acudir el día de mañana de ##:## - ##:##']]",,7,TheftLostItem
Debido a que está aplicando un examen,"Hola, ¿qué puedo ayudarle?
",Ok entonces el maestro la tiene en este momento?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Debido a que está aplicando un examen
Dispatcher:",[],,5,TheftLostItem
i took a picture just as it happened,"What happened?
",Alright we have officers in the area now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i took a picture just as it happened
Dispatcher:",[],,14,TheftLostItem
